DATE,CARD_ID,PRICE
09/09/2024,neo4-5,79.15
16/09/2024,neo4-5,79.15
23/09/2024,neo4-5,79.15
30/09/2024,neo4-5,79.15
07/10/2024,neo4-5,79.15
14/10/2024,neo4-5,79.15
21/10/2024,neo4-5,79.15
28/10/2024,neo4-5,79.15
04/11/2024,neo4-5,79.15
11/11/2024,neo4-5,79.15
18/11/2024,neo4-5,79.15
25/11/2024,neo4-5,82.29
02/12/2024,neo4-5,82.75
09/12/2024,neo4-5,82.81
16/12/2024,neo4-5,82.81
23/12/2024,neo4-5,82.81
30/12/2024,neo4-5,94.25
06/01/2025,neo4-5,94.25
13/01/2025,neo4-5,94.25
20/01/2025,neo4-5,99.06
27/01/2025,neo4-5,99.06
03/02/2025,neo4-5,99.06
10/02/2025,neo4-5,109.24
17/02/2025,neo4-5,109.24
24/02/2025,neo4-5,116.77
03/03/2025,neo4-5,116.77
10/03/2025,neo4-5,123.21
17/03/2025,neo4-5,123.21
24/03/2025,neo4-5,123.21
31/03/2025,neo4-5,134.22
07/04/2025,neo4-5,134.22
14/04/2025,neo4-5,134.22
21/04/2025,neo4-5,134.22
28/04/2025,neo4-5,134.22
05/05/2025,neo4-5,134.22
12/05/2025,neo4-5,134.22
19/05/2025,neo4-5,134.22
26/05/2025,neo4-5,146.29
02/06/2025,neo4-5,146.29
09/06/2025,neo4-5,146.96
16/06/2025,neo4-5,146.96
23/06/2025,neo4-5,149.28
30/06/2025,neo4-5,149.28
07/07/2025,neo4-5,149.28
14/07/2025,neo4-5,149.28
21/07/2025,neo4-5,149.28
28/07/2025,neo4-5,149.28
04/08/2025,neo4-5,149.28
11/08/2025,neo4-5,148.95
18/08/2025,neo4-5,148.95
25/08/2025,neo4-5,148.95
01/09/2025,neo4-5,148.95
08/09/2025,neo4-5,148.95
