DATE,CARD_ID,CARD_NAME,CARD_SET,PRICE
19/08/2024,SVP-48,Squirtle,Scarlett & Violet,0.54
26/08/2024,SVP-48,Squirtle,Scarlett & Violet,0.48
02/09/2024,SVP-48,Squirtle,Scarlett & Violet,0.61
09/09/2024,SVP-48,Squirtle,Scarlett & Violet,0.61
16/09/2024,SVP-48,Squirtle,Scarlett & Violet,0.52
23/09/2024,SVP-48,Squirtle,Scarlett & Violet,0.41
30/09/2024,SVP-48,Squirtle,Scarlett & Violet,0.43
07/10/2024,SVP-48,Squirtle,Scarlett & Violet,0.44
14/10/2024,SVP-48,Squirtle,Scarlett & Violet,0.49
21/10/2024,SVP-48,Squirtle,Scarlett & Violet,0.4
28/10/2024,SVP-48,Squirtle,Scarlett & Violet,0.49
04/11/2024,SVP-48,Squirtle,Scarlett & Violet,0.43
11/11/2024,SVP-48,Squirtle,Scarlett & Violet,0.47
18/11/2024,SVP-48,Squirtle,Scarlett & Violet,0.41
25/11/2024,SVP-48,Squirtle,Scarlett & Violet,0.44
02/12/2024,SVP-48,Squirtle,Scarlett & Violet,0.42
09/12/2024,SVP-48,Squirtle,Scarlett & Violet,0.4
16/12/2024,SVP-48,Squirtle,Scarlett & Violet,0.41
23/12/2024,SVP-48,Squirtle,Scarlett & Violet,0.51
30/12/2024,SVP-48,Squirtle,Scarlett & Violet,0.53
06/01/2025,SVP-48,Squirtle,Scarlett & Violet,0.53
13/01/2025,SVP-48,Squirtle,Scarlett & Violet,0.51
20/01/2025,SVP-48,Squirtle,Scarlett & Violet,0.6
27/01/2025,SVP-48,Squirtle,Scarlett & Violet,0.58
03/02/2025,SVP-48,Squirtle,Scarlett & Violet,0.6
10/02/2025,SVP-48,Squirtle,Scarlett & Violet,0.76
17/02/2025,SVP-48,Squirtle,Scarlett & Violet,0.71
24/02/2025,SVP-48,Squirtle,Scarlett & Violet,0.8
03/03/2025,SVP-48,Squirtle,Scarlett & Violet,0.78
10/03/2025,SVP-48,Squirtle,Scarlett & Violet,0.89
17/03/2025,SVP-48,Squirtle,Scarlett & Violet,0.81
24/03/2025,SVP-48,Squirtle,Scarlett & Violet,0.8
31/03/2025,SVP-48,Squirtle,Scarlett & Violet,0.81
07/04/2025,SVP-48,Squirtle,Scarlett & Violet,0.83
14/04/2025,SVP-48,Squirtle,Scarlett & Violet,0.87
21/04/2025,SVP-48,Squirtle,Scarlett & Violet,0.63
28/04/2025,SVP-48,Squirtle,Scarlett & Violet,0.55
03/05/2025,SVP-48,Squirtle,Scarlett & Violet,0.42
12/05/2025,SVP-48,Squirtle,Scarlett & Violet,0.57
19/05/2025,SVP-48,Squirtle,Scarlett & Violet,0.48
26/05/2025,SVP-48,Squirtle,Scarlett & Violet,0.38
02/06/2025,SVP-48,Squirtle,Scarlett & Violet,0.43
09/06/2025,SVP-48,Squirtle,Scarlett & Violet,0.41
16/06/2025,SVP-48,Squirtle,Scarlett & Violet,0.43
23/06/2025,SVP-48,Squirtle,Scarlett & Violet,0.35
30/06/2025,SVP-48,Squirtle,Scarlett & Violet,0.41
07/07/2025,SVP-48,Squirtle,Scarlett & Violet,0.4
14/07/2025,SVP-48,Squirtle,Scarlett & Violet,0.42
21/07/2025,SVP-48,Squirtle,Scarlett & Violet,0.52
28/07/2025,SVP-48,Squirtle,Scarlett & Violet,0.47
04/08/2025,SVP-48,Squirtle,Scarlett & Violet,0.61
11/08/2025,SVP-48,Squirtle,Scarlett & Violet,0.58
